Nama Brand,Nama Produk,Harga,Gambar
DEAR ME BEAUTY,Stay Locked All Day Makeup Fixer,109000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2F5%2F9%2F59e3cedb-7262-48aa-b4fe-f6592079c069-image-0-1715852670379.png&w=3840&q=75
NEWLAB,Brightlogy 7D Pink Lips Serum,68600,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2F1%2F_%2F1.png&w=3840&q=75
ESQA,Minimalist Serum Concealer,96000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fc%2Fu%2Fcustard_3.png&w=3840&q=75
ESQA,Minimalist Eye Tint Corrector,96000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
ESQA,Brow Pomade Pencil (repackage),89250,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
ESQA,Dream Lash Serum Mascara,109650,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
SASC,Phyto Hydra Daily Lip Tint,129500,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
SOMETHINC,Tipsy Lash Lift Lengthening Mascara,105000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fw%2Fh%2Fwhatsapp_image_2024-06-19_at_16.22.25_2.jpeg&w=3840&q=75
ESQA,Glow Pop Serum Lip Balm,92650,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2F9%2F1%2F912eed8a-5ed2-4805-b0e5-44e2f846e506-image-0-1714981438167.png&w=3840&q=75
ESQA,Cloud Kiss Refillable Powder Lipstick,92650,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fe%2Fl%2Felectric_fire.png&w=3840&q=75
ESQA,Blurred Haze Velvet Lip Tint,84150,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fd%2F4%2Fd4a2e72b-1e64-4122-8527-eb3688e4e044-.png&w=3840&q=75
NPURE,Power Powder,99000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fn%2Fp%2Fnpure_power_powder_1.jpg&w=3840&q=75
NPURE,Power Primer,89000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fn%2Fp%2Fnpure_power_primer_1.jpg&w=3840&q=75
SKINTIFIC,All Day Perfect Serum Foundation,209800,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fp%2Fo%2Fporcelain_1.png&w=3840&q=75
TRUE TO SKIN,Juicy Glass Tint,99000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fr%2Fo%2Frosefig_3__5_1.png&w=3840&q=75
GUELE,Lume Baked Blush,129000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
GUELE,Bare Concealer,139000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
GUELE,Lip Fleur,109000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
GUELE,Fineliner,109000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
GUELE,Slim Eyebrow Pencil,129000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2F6%2Fa%2F6a314c4b-d9ed-4c35-bde2-7e8abc085a7a-product-sku-savo_1_.png&w=3840&q=75
GUELE,Lashcara - Giza Black,129000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fa%2F1%2Fa1725a2e-e05c-4467-ac44-be40c657d405-.png&w=3840&q=75
GUELE,Lip Moist - Mixed Berry,69000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fl%2Fi%2Flip_moist.png&w=3840&q=75
LUXCRIME,Slim Triangle Precision Brow Pencil,80750,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fl%2Fu%2Fluxcrime_eyebrow_brown_1.jpg&w=3840&q=75
LUXCRIME,Blur & Cover Two Way Cake : Oil Control,109650,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2F1%2F1%2F11_29__1.png&w=3840&q=75
